name,kind,domain,omics_type,contributing_projects,n_projects,n_implementations,licenses,integration_mode,redistributable,signature,external_deps,source_paths,description,native_connectors,availability
cell2sentence,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/cell2sentence.md,"# Cell2Sentence Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (correct GPU detection, structured error messages) - ✅ HuggingFace GPT-2 integration verified - ⏳",,wrappable
cellfm,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/cellfm.md,"# CellFM Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16+ GB VRAM) ## Over",,wrappable
cellplm,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/cellplm.md,"# CellPLM Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ✅ CPU fallback supported (slower but works without GPU)",,wrappable
celltype-specificity-profiler,skill,scrna,scrnaseq,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/celltype-specificity-profiler/SKILL.md,"Given a gene and a single-cell atlas, compute how cell-type-specific its expression is — the tau specificity index, Sarle's expression bimodality coefficient, and the cell types that drive the signal; a pure analytic transform that chains downstream of scrna-embedding.",,wrappable
cellxgene-census,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,,K-Dense-scientific-agent-skills/skills/cellxgene-census/SKILL.md,"Query the CZ CELLxGENE Census programmatically for versioned public single-cell and spatial transcriptomics data. Use when you need population-scale cell metadata, gene expression slices, Census summary counts, source H5AD URIs/downloads, embeddings, spatial Census data, or reference atlas comparisons across organisms, tissues, diseases, assays, and cell types. For analyzing your own local single-",mcp-cellguide,already-available
chatcell,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/chatcell.md,"# CHATCELL Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16-32 GB VRAM) ##",,wrappable
crispr-screen-triage,skill,crispr,scrnaseq,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/crispr-screen-triage/SKILL.md,Deterministic CRISPR screen hit ranking from local guide-level count tables,,wrappable
diff-visualizer,skill,differential-expression,scrnaseq,ClawBio,1,1,MIT,vendor,True,,matplotlib.org;scanpy.readthedocs.io,ClawBio/skills/diff-visualizer/SKILL.md,Rich downstream visualisation and reporting for bulk RNA-seq differential expression and scRNA marker/contrast outputs.,,wrappable
genecompass,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/genecompass.md,"# GeneCompass Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16-32 GB VRAM)",,wrappable
genept,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/genept.md,"# GenePT Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ✅ CPU-only inference (no GPU required) - ⏳ Requires pre-",,wrappable
hugging-science,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,huggingscience.co,K-Dense-scientific-agent-skills/skills/hugging-science/SKILL.md,"Use when the user is doing AI/ML work in a scientific domain such as biology, chemistry, physics, astronomy, climate, genomics, materials, medicine, ecology, energy, engineering, math, drug discovery, protein design, weather modeling, theorem proving, single-cell, or PDE solving. Hugging Science is a curated catalog of scientific datasets, models, blog posts, and interactive Spaces. This skill hel",,wrappable
lamindb,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,docs.lamin.ai,K-Dense-scientific-agent-skills/skills/lamindb/SKILL.md,"Use when working with LaminDB, the open-source lineage-native lakehouse for biological datasets and models. Covers setup, artifact registration, query/search, lineage tracking, validation, ontology-backed annotation with Bionty, collections, branches, storage, and workflow integrations.",,wrappable
langcell,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/langcell.md,"# LangCell Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16 GB VRAM) ## Ove",,wrappable
marker-dominance-mapper,skill,marker-dominance,scrnaseq,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/marker-dominance-mapper/SKILL.md,Deterministic marker-dominance region mapping from local spot-count CSVs,,wrappable
methylation-clock,skill,epigenetics,scrnaseq,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/methylation-clock/SKILL.md,Compute epigenetic age from DNA methylation arrays using PyAging clocks from GEO accessions or local files.,mcp-omics-archives,already-available
nf-core Pipelines Skills Index,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/upstream_processing/nfcore/SKILL.md,"Skills for using nf-core community pipelines to process omics data, from installation and configuration to running specific analysis pipelines.",,wrappable
nf-core: Dynamic Pipeline Discovery & Usage,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/upstream_processing/nfcore/nfcore_dynamic_discovery.md,"Meta-skill for dynamically discovering and using ANY nf-core pipeline, including those not covered by pre-written skill files. Teaches the agent how to fetch pipeline documentation, parameters, and samplesheet formats on-the-fly from standardized nf-core resources.",,wrappable
nf-core: Getting Started & Usage,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/upstream_processing/nfcore/nfcore_usage.md,"How to install, configure, and run nf-core Nextflow pipelines on local machines, HPC clusters, and cloud environments.",,wrappable
nf-core: Single-Cell & Bulk RNA-seq Pipelines,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/upstream_processing/nfcore/nfcore_transcriptomics.md,"nf-core pipelines for processing single-cell RNA-seq (scrnaseq, scdownstream) and bulk RNA-seq (rnaseq) data from raw FASTQs to count matrices.",,wrappable
nf-core: Spatial Omics Pipelines,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/upstream_processing/nfcore/nfcore_spatial.md,"nf-core pipelines for processing spatial transcriptomics data from Visium, Xenium, MERSCOPE, CosMX, Molecular Cartography, and other platforms.",,wrappable
nfcore-scrnaseq-wrapper,skill,scrna,scrnaseq,ClawBio,1,1,MIT,vendor,True,,nf-co.re;simpleaf.readthedocs.io;www.kallistobus.tools;www.nextflow.io,ClawBio/skills/nfcore-scrnaseq-wrapper/SKILL.md,"Wrapper skill for running nf-core/scrnaseq 4.1.0 upstream single-cell RNA-seq preprocessing from FASTQ with strict preflight, reproducibility outputs, and downstream handoff to ClawBio scRNA skills.",mcp-genes-ontologies,already-available
nicheformer,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/nicheformer.md,"# Nicheformer Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16+ GB VRAM) ##",,wrappable
ontology-term-resolution,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,www.ebi.ac.uk,K-Dense-scientific-agent-skills/skills/ontology-term-resolution/SKILL.md,"Resolve free-text scientific labels to ontology term IDs and validate existing CURIEs against the EBI Ontology Lookup Service (OLS4). Use whenever an ontology identifier must be produced or checked - annotating tissue, cell type, disease, phenotype, assay, chemical, organism, sex, or developmental stage fields; preparing metadata for GEO, ENA, BioSamples, CELLxGENE, HCA, or ISA-Tab submission; aud",mcp-genes-ontologies,already-available
pathway-enrichment,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,biit.cs.ut.ee;gseapy.readthedocs.io;maayanlab.cloud;www.gsea-msigdb.org,K-Dense-scientific-agent-skills/skills/pathway-enrichment/SKILL.md,"Run pathway and gene-set enrichment analysis on gene lists or ranked gene data, then interpret the results. Use whenever the user has a set of genes (differentially expressed genes from PyDESeq2/Scanpy, CRISPR-screen hits, cluster marker genes, proteomics hits) and wants to know which biological pathways, GO terms, or gene sets are over-represented or enriched. Covers over-representation analysis ",,wrappable
protocolsio-integration,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,www.protocols.io,K-Dense-scientific-agent-skills/skills/protocolsio-integration/SKILL.md,"Read, validate, and safely export protocols.io data with current official REST/MCP contracts, or create non-executing mutation plans. The bundled client makes bounded official-host GET requests only with explicit --execute. Use only for tasks explicitly targeting protocols.io or an exact protocols.io protocol version.",mcp-genes-ontologies,already-available
pulsar,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/pulsar.md,"# PULSAR Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16+ GB VRAM) ## Over",,wrappable
scanpy,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,docs.dask.org;mojaveazure.github.io;rapids-singlecell.readthedocs.io;scanpy.scverse.org;scverse.org;www.bioconductor.org,K-Dense-scientific-agent-skills/skills/scanpy/SKILL.md,"Standard single-cell RNA-seq analysis pipeline. Use for QC, normalization, dimensionality reduction (PCA/UMAP/t-SNE), clustering, differential expression, visualization, and converting R-friendly single-cell formats such as Seurat or SingleCellExperiment RDS files into h5ad for Scanpy. Best for exploratory scRNA-seq analysis with established workflows. For deep learning models use scvi-tools; for ",,wrappable
scbert,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/scbert.md,"# scBERT Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ✅ CPU fallback supported (slower but works without GPU)",,wrappable
sccello,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/sccello.md,"# scCello Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16 GB VRAM) ## Over",,wrappable
scmulan,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/scmulan.md,"# scMulan Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16+ GB VRAM) ## Ove",,wrappable
scplantllm,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/scplantllm.md,"# scPlantLLM Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (proper checkpoint resolution, error messages) - ⏳ Requires local checkpoint + GPU (16+ GB VRAM) - No",,wrappable
scprint,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/scprint.md,"# scPRINT Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (correct GPU detection, structured error messages) - ✅ HuggingFace integration path verified - ⏳ Full in",,wrappable
scrna-embedding,skill,scrna,scrnaseq,ClawBio,1,1,MIT,vendor,True,,anndata.readthedocs.io;docs.scvi-tools.org;scanpy.readthedocs.io,ClawBio/skills/scrna-embedding/SKILL.md,"Local scVI/scANVI-based single-cell latent embedding and batch-aware integration from raw-count .h5ad or 10x Matrix Market input, with stable integrated AnnData export for downstream latent analysis.",mcp-genes-ontologies,already-available
scrna-orchestrator,skill,scrna,scrnaseq,ClawBio,1,1,MIT,vendor,True,,anndata.readthedocs.io;genomebiology.biomedcentral.com;scanpy.readthedocs.io;www.celltypist.org;www.nature.com,ClawBio/skills/scrna-orchestrator/SKILL.md,"Local Scanpy pipeline for single-cell RNA-seq QC, optional doublet detection, clustering, marker discovery, optional CellTypist annotation, optional latent downstream mode from integrated.h5ad/X_scvi, and optional dataset-level plus within-cluster contrastive marker analysis from raw-count .h5ad or 10x Matrix Market input.",,wrappable
scvelo,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,cellrank.readthedocs.io;dynamo-release.readthedocs.io;scvelo.readthedocs.io;velocyto.org,K-Dense-scientific-agent-skills/skills/scvelo/SKILL.md,"RNA velocity analysis with scVelo. Estimate cell state transitions from unspliced/spliced mRNA dynamics, infer trajectory directions, compute latent time, and identify driver genes in single-cell RNA-seq data. Complements Scanpy/scVI-tools for trajectory inference.",mcp-drug-regulatory,already-available
scvi-tools,skill,scrnaseq,scrnaseq,K-Dense,1,1,MIT,vendor,True,,docs.scvi-tools.org,K-Dense-scientific-agent-skills/skills/scvi-tools/SKILL.md,"Deep generative models for single-cell omics. Use when you need probabilistic batch correction (scVI), transfer learning, differential expression with uncertainty, or multi-modal integration (TOTALVI, MultiVI). Best for advanced modeling, batch effects, multimodal data. For standard analysis pipelines use scanpy.",mcp-genes-ontologies,already-available
tgpt,skill,skills,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/scfm/_docs/models/tgpt.md,"# tGPT Adapter ## Status: 🔶 Conditional (Adapter Validated) **Validation Results:** - ✅ Adapter code validated (correct GPU detection, structured error messages) - ✅ HuggingFace integration path verified - ⏳ Full infer",,wrappable
3D Volume (MIP / ISO) LiveView,skill,skills,spatial,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/live_view/volume3d/volume3d.md,"Open and drive a 3D volumetric renderer (maximum-intensity projection or iso-surface) in the Pantheon sidebar — for a dense 3D scalar image: OPT / light-sheet / micro-CT / MRI scans, confocal z-stacks, segmentation probability maps. The user's input is usually a 3D TIFF stack (or NIfTI / numpy); the recipe converts it to an OME-NGFF Zarr pyramid. Rotate, switch MIP/ISO, tune the iso threshold. vie",,wrappable
View Bioimages with the Viv LiveView,skill,skills,spatial,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/live_view/viv/viv.md,"Open and drive an interactive Viv image viewer (high-resolution multiplexed bioimaging — OME-TIFF, OME-Zarr / OME-NGFF) in the Pantheon sidebar via the live_view tools. Covers cloud and local images, the channel model used to drive the view, and how to verify it.",mcp-genes-ontologies,already-available
Workspace File Organization,skill,skills,spatial,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/general_data_analysis/file_organization.md,"Keep the workspace tidy: give every analysis task its own descriptively-named folder, with figures / data / reports organized inside it — never scatter files at the workspace root or dump figures into internal dirs.",,wrappable
deepspot-m,skill,spatial,spatial,K-Dense,1,1,MIT,vendor,True,,huggingface.co,K-Dense-scientific-agent-skills/skills/deepspot-m/SKILL.md,"Generate transcriptome-wide virtual spatial transcriptomics from H&E histology with DeepSpot-M. Use when you need spatial gene expression in log1p-CPM for 224x224 tiles at about 20x, want to query protein-coding genes by symbol instead of a fixed panel, or want to run prediction across a whole slide after tiling with histolab.",,wrappable
onekgpd,skill,wes,wes,K-Dense,1,1,MIT,vendor,True,,dnaerys.org;docs.astral.sh;www.internationalgenome.org,K-Dense-scientific-agent-skills/skills/onekgpd/SKILL.md,"Query the 1000 Genomes Project dataset (3,202 whole-genome-sequenced individuals, GRCh38) at the level of individual participants. Use when a question is about individuals or variants in the 1000 Genomes Project cohort: which individuals carry variants matching specific criteria in a gene or region, which individuals are homozygous-reference at a position, which variants exist in the dataset or ca",,wrappable
wes-clinical-report-en,skill,WES,wes,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/wes-clinical-report-en/SKILL.md,"Generates professional clinical PDF reports in English from WES (Whole Exome Sequencing) data with clinical interpretation summary, pharmacogenomic alerts, and follow-up recommendations.",,wrappable
wes-clinical-report-es,skill,WES,wes,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/wes-clinical-report-es/SKILL.md,"Generates professional clinical PDF reports in Spanish from WES (Whole Exome Sequencing) data with clinical interpretation, pharmacogenomic alerts, and follow-up recommendations.",,wrappable
Designed Genomic Figures with Gosling.js,skill,skills,wgs,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/live_view/gosling/gosling.md,"Open and drive a Gosling.js view in the Pantheon sidebar — a grammar-based genomic visualisation (circular ideograms, multi-track linear, comparative dual-genome, sample-faceted layouts). For looking at BAM/VCF files in a standard browser use IGV; for designed genomic figures use Gosling.",,wrappable
Figure Styling Skills Index,skill,skills,wgs,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/figure_styling/SKILL.md,"Aesthetic guidelines and output-type recipes for scientific figure production. Supports lightweight default-agent use through SKILL.md + one outputType recipe, with optional venue-specific style guides when requested.",,wrappable
UCSC Genome Browser API & liftOver,skill,skills,wgs,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/omics/database_access/ucsc.md,"Programmatic access to UCSC Genome Browser data (api.genome.ucsc.edu) — assembly catalog, track data, sequence retrieval, gene-symbol search, Track Hub discovery; plus the canonical liftOver coordinate-conversion utility (UCSC `liftOver` CLI, `pyliftover`, `CrossMap`). Use UCSC where Ensembl / NCBI fall short: cross-assembly liftOver, public Track Hubs, large genome catalog (hundreds of assemblies",mcp-genomes,already-available
View Genome Tracks with IGV.js,skill,skills,wgs,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/skills/live_view/igv/igv.md,"Open and drive an interactive IGV.js genome browser in the Pantheon sidebar via the live_view tools — view BAM/CRAM alignments, VCF variants, BED/GFF annotations, bigWig coverage, on a reference genome (hg38, mm10, or a custom FASTA).",mcp-genes-ontologies,already-available
analyze-fasta,skill,fasta,wgs,ClawBio,1,1,MIT,vendor,True,,biopython.org,ClawBio/skills/analyze-fasta/SKILL.md,"Analyze a single FASTA file (nucleotide or protein), compute sequence-level metrics (GC, ORFs, MW, pI, GRAVY, secondary-structure fractions) with Biopython, and write a Markdown report plus structured JSON for downstream chaining.",,wrappable
ancestry-risk-profiler,skill,ancestry,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/ancestry-risk-profiler/SKILL.md,Infers genetic super-population ancestry from a 23andMe/AncestryDNA file and computes ancestry-stratified odds ratios with an exploratory Ancestry Elevation Score (AES) showing where ancestry-specific GWAS effect sizes diverge from European reference estimates.,,wrappable
archaic-introgression,skill,wgs,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/archaic-introgression/SKILL.md,Detect Neanderthal and Denisovan introgression segments from modern human genomes,,wrappable
article-data-fetcher,skill,data-download,wgs,ClawBio,1,1,MIT,vendor,True,,datadryad.org;developers.zenodo.org;docs.figshare.com;ftp.ncbi.nlm.nih.gov;www.ebi.ac.uk;www.ncbi.nlm.nih.gov,ClawBio/skills/article-data-fetcher/SKILL.md,"Given an article DOI or PubMed ID, discover and download the genomics data files deposited by the authors (VCF, FASTA, H5AD, CSV, JSON, BAM, etc.) from public repositories such as GEO, ENA, Zenodo, Figshare, Dryad, and OSF.",mcp-omics-archives;mcp-pubmed,already-available
bigquery-public,skill,bigquery,wgs,ClawBio,1,1,MIT,vendor,True,,cloud.google.com,ClawBio/skills/bigquery-public/SKILL.md,"Run read-only SQL against BigQuery public datasets with local result capture, cost safeguards, and reproducibility outputs.",,wrappable
claw-ancestry-pca,skill,population-genetics,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/claw-ancestry-pca/SKILL.md,Ancestry decomposition PCA against the Simons Genome Diversity Project,,wrappable
claw-metagenomics,skill,metagenomics,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/claw-metagenomics/SKILL.md,"Shotgun metagenomics profiling — taxonomy, resistome, and functional pathways",,wrappable
claw-methylation-cycle,skill,genomics,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/claw-methylation-cycle/SKILL.md,"Methylation cycle analysis — enzymatic activity profiles, Net Methylation Capacity, BH4 axis estimates, compound heterozygosity detection from SNP genotype data.",,wrappable
clinical-variant-prioritizer,skill,clinical-genomics,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/clinical-variant-prioritizer/SKILL.md,"Screen a genotype set (array or WGS-derived) against OMIM-morbid, ACMG-SF and Hereditary-Cancer gene panels and prioritise carried variants by ClinVar significance, gnomAD frequency, inheritance model and zygosity, following the pathogenicity-screening method of Corpas et al. 2021 (Whole Genome Interpretation for a Family of Five).",mcp-cancer-models;mcp-variants,already-available
clinical-variant-reporter,skill,acmg,wgs,ClawBio,1,1,MIT,vendor,True,,clinicalgenome.org;gnomad.broadinstitute.org;pmc.ncbi.nlm.nih.gov;pubmed.ncbi.nlm.nih.gov;www.ncbi.nlm.nih.gov,ClawBio/skills/clinical-variant-reporter/SKILL.md,Classify germline variants from VCF/BCF files according to the ACMG/AMP 2015 28-criteria evidence framework and generate clinical-grade interpretation reports with per-variant evidence audit trails and ACMG SF v3.2 secondary findings screening.,mcp-pubmed;mcp-variants,already-available
clinpgx,skill,wgs,wgs,ClawBio,1,1,MIT,vendor,True,,api.clinpgx.org,ClawBio/skills/clinpgx/SKILL.md,"Query the ClinPGx API for pharmacogenomic gene-drug data, clinical annotations, CPIC guidelines, and FDA drug labels",mcp-drug-regulatory,already-available
cnv-acmg-classifier,skill,cnv,wgs,ClawBio,1,1,MIT,vendor,True,,dosage.clinicalgenome.org;pubmed.ncbi.nlm.nih.gov,ClawBio/skills/cnv-acmg-classifier/SKILL.md,"Classify structural variants / copy-number variants (deletions and duplications) using the ClinGen / ACMG 2019 (Riggs et al. 2020) point framework and return a five-tier classification with a per-section evidence trail. Germline CNV interpretation, not SNV/indel.",mcp-clinical-genomics;mcp-pubmed,already-available
depmap,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,depmap.org;figshare.com,K-Dense-scientific-agent-skills/skills/depmap/SKILL.md,"Query the Cancer Dependency Map (DepMap) for cancer cell line gene dependency scores (CRISPR Chronos), drug sensitivity data, and gene effect profiles. Use for identifying cancer-specific vulnerabilities, synthetic lethal interactions, and validating oncology drug targets.",mcp-cancer-models,already-available
dnanexus-integration,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,,K-Dense-scientific-agent-skills/skills/dnanexus-integration/SKILL.md,"Build and operate reproducible genomics workloads on DNAnexus with the dx CLI, dxpy, apps/applets, native workflows, dxCompiler, and Nextflow. Use for DNAnexus data transfers, dxapp.json development, execution monitoring, workflow import, and project automation.",,wrappable
drug-photo,skill,pharmacogenomics,wgs,ClawBio,1,1,MIT,vendor,True,,cpicpgx.org;www.fda.gov,ClawBio/skills/drug-photo/SKILL.md,"Medication photo to personalised PGx dosage card via Claude vision — snap a pill, get genotype-informed guidance",mcp-drug-regulatory,already-available
equity-scorer,skill,wgs,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/equity-scorer/SKILL.md,"Compute HEIM diversity and equity metrics from VCF or ancestry data. Generates heterozygosity, FST, PCA plots, and a composite HEIM Equity Score with markdown reports.",,wrappable
etetoolkit,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,etetoolkit.github.io,K-Dense-scientific-agent-skills/skills/etetoolkit/SKILL.md,"Analyze, manipulate, compare, annotate, and visualize phylogenetic or other hierarchical trees with ETE 4. Use for Newick/Nexus tree I/O, topology edits and pattern matching, Robinson-Foulds comparisons, gene-tree evolutionary events and reconciliation, NCBI/GTDB taxonomy, SmartView exploration, and publication rendering. Do not use it to infer trees from raw sequences; align sequences and infer a",,wrappable
exploratory-data-analysis,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,academic.oup.com;biopython.org;docs.h5py.org;docs.pola.rs;numpy.org;ome-model.readthedocs.io;pandas.pydata.org;pillow.readthedocs.io,K-Dense-scientific-agent-skills/skills/exploratory-data-analysis/SKILL.md,"Perform bounded, local exploratory analysis of explicitly supported scientific files. Use for redacted CSV/TSV/JSON profiles; optional NumPy, HDF5, FASTA/FASTQ, and basic image metadata inspection; missingness/leakage audits; outlier and transformation sensitivity; and rigorous EDA report scaffolds. Other domain formats are reference-only and unknown formats fail closed.",,wrappable
fastreer,skill,phylogenetics,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/fastreer/SKILL.md,"Phylogenetic distance matrices and trees from VCF or FASTA data using the fastreeR hybrid Java/Python toolkit (VCF2TREE, VCF2DIST, DIST2TREE, FASTA2DIST).",,wrappable
geniml,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,api.bedbase.org,K-Dense-scientific-agent-skills/skills/geniml/SKILL.md,"Use Geniml for audited local genomic-interval workflows: validate BED and universe contracts, plan Region2Vec or scEmbed runs, inspect model/tokenizer compatibility, and assess consensus universes.",,wrappable
genome-compare,skill,genome-comparison,wgs,ClawBio,1,1,MIT,vendor,True,,pgp.med.harvard.edu,ClawBio/skills/genome-compare/SKILL.md,Compare your genome to George Church (PGP-1) and estimate ancestry composition via IBS and EM admixture,mcp-omics-archives,already-available
genome-match,skill,genomebook,wgs,ClawBio,1,1,MIT,vendor,True,,,ClawBio/skills/genome-match/SKILL.md,Score genetic compatibility across all male-female pairings in a Genomebook generation,,wrappable
genomic-coordinates,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,,K-Dense-scientific-agent-skills/skills/genomic-coordinates/SKILL.md,"Convert genomic intervals between coordinate conventions, normalise and compare variant representations, and detect assembly or contig-naming mismatches before they corrupt an analysis. Use whenever coordinates cross a format, tool, or assembly boundary - converting between BED, GFF/GTF, VCF, SAM/BAM, WIG, PSL, genePred, Picard interval_list, or region strings; reconciling 0-based half-open with 1",,wrappable
genomic-intelligence,skill,wgs,wgs,K-Dense,1,1,MIT,vendor,True,,api.genomicintelligence.ai;docs.genomicintelligence.ai;mcp.genomicintelligence.ai,K-Dense-scientific-agent-skills/skills/genomic-intelligence/SKILL.md,"Predict regulatory features, gene structure, and expression directly from DNA sequence using Genomic Intelligence's hosted transformer DNA language models — no local GPU or model weights. Six tasks over a REST API and a hosted MCP server (keyless public demo): promoter regions, splice donor/acceptor sites, enhancer activity, chromatin state, sequence-to-expression (log TPM), and de-novo gene annot",,wrappable
